fold,n_train,n_test,accuracy,precision_macro,recall_macro,f1_macro
1,19,5,0.4,0.4444444444444444,0.3333333333333333,0.35555555555555557
2,19,5,1.0,1.0,1.0,1.0
3,19,5,0.4,0.4166666666666667,0.5,0.35555555555555557
4,19,5,0.8,0.8888888888888888,0.8333333333333334,0.8222222222222223
5,20,4,0.75,0.5555555555555555,0.6666666666666666,0.6
