Modelo,Accuracy,Recall macro
XLM-R base (fine-tuning),0.3181818181818182,0.2962962962962963
BERTimbau base (fine-tuning),0.36363636363636365,0.3148148148148148
XLM-R large XNLI (fine-tuning),0.3181818181818182,0.2804232804232804
XLM-R large XNLI (zero-shot),0.4090909090909091,0.3333333333333333
