fold,n_train,n_test,accuracy,precision_macro,recall_macro,f1_macro
1,17,5,0.2,0.08333333333333333,0.16666666666666666,0.1111111111111111
2,17,5,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666
3,18,4,0.25,0.16666666666666666,0.3333333333333333,0.2222222222222222
4,18,4,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222
5,18,4,0.5,0.2222222222222222,0.3333333333333333,0.26666666666666666
