fold,n_train,n_test,accuracy,precision_macro,recall_macro,f1_macro
1,28,9,0.5555555555555556,0.3666666666666667,0.4222222222222222,0.3904761904761904
2,29,8,0.625,0.38888888888888884,0.5,0.43333333333333335
3,31,6,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222
4,29,8,0.625,0.5238095238095238,0.5,0.4646464646464647
5,31,6,0.5,0.5,0.38888888888888884,0.43333333333333335
