fold,n_train,n_test,accuracy,precision_macro,recall_macro,f1_macro
1,21,7,0.5714285714285714,0.38888888888888884,0.5,0.41269841269841273
2,22,6,0.6666666666666666,0.5333333333333333,0.6666666666666666,0.5833333333333334
3,23,5,0.4,0.16666666666666666,0.2222222222222222,0.19047619047619047
4,23,5,0.8,0.5833333333333334,0.6666666666666666,0.6190476190476191
5,23,5,0.6,0.5555555555555555,0.5555555555555555,0.5555555555555555
