Modelo,Recall — Pedido de Informação,Recall — Pedido de Encomenda,Recall — SPAM
XLM-R large XNLI (fine-tuning tradicional),0.5555555555555556,0.0,0.2857142857142857
XLM-R large XNLI (SetFit),0.8888888888888888,0.16666666666666666,0.2857142857142857
BERTimbau base (fine-tuning tradicional),0.7777777777777778,0.1666666666666666,0.0
BERTimbau base (SetFit),0.7777777777777778,0.3333333333333333,0.2857142857142857
